Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
Akcje uprzywilejowane w dywidendzie mogą oferować wyższą dywidendę niż akcje zwykłe maksymalnie o:,50%,20%,100%,10%
"Akcje wydawane w zamian za wkłady niepieniężne, np. nieruchomości czy maszyny, to akcje:",aportowe,gotówkowe,nieme,złote
"Akcje oferujące dodatkowe, nadzwyczajne prawa, np. możliwość zablokowania określonych decyzji spółki (jak w przypadku Skarbu Państwa w Orlenie), to akcje:",złote,nieme,aportowe,imienne
"Kupujesz akcję za 100 zł, rok później kosztuje ona 110 zł, a w międzyczasie spółka wypłaciła 5 zł dywidendy na akcję. Całkowita stopa zwrotu dla akcjonariusza (TSR) wynosi:",15%,10%,5%,105%
"Papier wartościowy gwarantujący dotychczasowym akcjonariuszom pierwszeństwo nabycia akcji nowej emisji, proporcjonalnie do liczby już posiadanych udziałów, to:",prawo poboru,prawo do akcji (PDA),warrant subskrypcyjny,certyfikat inwestycyjny
Osoba fizyczna nie może być:,emitentem obligacji,obligatariuszem,akcjonariuszem,posiadaczem jednostek uczestnictwa funduszu inwestycyjnego
"Rentowność do wykupu (YTM) obligacji jest wyższa od jej oprocentowania kuponowego, gdy obligacja jest kupowana:","z dyskontem, czyli poniżej wartości nominalnej","z premią, czyli powyżej wartości nominalnej",dokładnie po wartości nominalnej,"niezależnie od ceny zakupu, YTM zawsze równa się kuponowi"
"Obligacje emitowane przez jednostki samorządu terytorialnego, których spłata pochodzi wyłącznie z przychodów generowanych przez finansowane przedsięwzięcie (np. opłaty za przejazd autostradą), to obligacje:",przychodowe,komunalne ogólne,skarbowe,zamienne
"Papier wartościowy, w którym trasant wydaje trasatowi polecenie zapłacenia określonej sumy pieniężnej na rzecz remitenta, to:",weksel,obligacja,list zastawny,warrant subskrypcyjny
"Dłużny papier wartościowy emitowany wyłącznie przez banki hipoteczne, zabezpieczony hipoteką na nieruchomościach, na które udzielono kredytów, to:",list zastawny,bankowy papier wartościowy,bon skarbowy,obligacja przychodowa
"Papier wartościowy dający posiadaczowi prawo, ale nie obowiązek, do objęcia akcji nowej emisji spółki w określonym czasie i po określonej cenie, wymagający uchwały WZA, to:",warrant subskrypcyjny,prawo poboru,prawo do akcji (PDA),certyfikat inwestycyjny
"Inwestor otwierający pozycję długą (long) na kontrakcie terminowym zyskuje, gdy cena instrumentu bazowego:",wzrośnie,spadnie,pozostanie bez zmian,osiągnie zero
"W odróżnieniu od kontraktu Futures, kontrakt Forward:","jest negocjowany indywidualnie i zawierany prywatnie, głównie między dużymi instytucjami, na rynku pozagiełdowym (OTC)",jest w pełni standaryzowany i dostępny dla szerokiego kręgu inwestorów u brokerów,rozlicza zyski i straty codziennie po zakończeniu sesji giełdowej,charakteryzuje się wyższą płynnością niż kontrakt Futures
Opcja sprzedaży (put) daje jej nabywcy prawo do:,sprzedaży instrumentu bazowego po ustalonej cenie wykonania,zakupu instrumentu bazowego po ustalonej cenie wykonania,wymiany strumieni odsetkowych z drugą stroną,dostawy instrumentu bazowego w oznaczonym terminie
"Fundusz inwestycyjny, który emituje ściśle ograniczoną liczbę certyfikatów inwestycyjnych i dzięki większej swobodzie inwestycyjnej może lokować kapitał także w transakcje terminowe czy udziały spółek z o.o., to fundusz:",zamknięty (FIZ),otwarty (FIO),rynku pieniężnego,stabilnego wzrostu
"Wśród funduszy inwestycyjnych, uszeregowanych od najmniej do najbardziej ryzykownych, największym ryzykiem charakteryzują się fundusze:",akcyjne (akcji),rynku pieniężnego,obligacji (dłużne),stabilnego wzrostu
Kiedy korzystniejsze jest przejęcie firmy przez kupienie jej akcji zamiast budowania jej od podstaw?,gdy wskaźnik q Tobina jest mniejszy od jedności,gdy wskaźnik q Tobina jest większy od jedności,gdy wskaźnik q Tobina równa się jeden,gdy wskaźnik q Tobina jest większy od zera
Które z poniższych stwierdzeń najtrafniej oddaje istotę koncepcji ekonomicznej wartości dodanej (EVA) jako miernika oceny efektywności przedsiębiorstwa?,"EVA mierzy nadwyżkę zysku operacyjnego po opodatkowaniu ponad koszt całkowitego kapitału zaangażowanego w przedsiębiorstwo, odzwierciedlając tworzenie wartości dla akcjonariuszy","EVA stanowi miarę zysku księgowego, która odzwierciedla wynik finansowy netto bez uwzględnienia kosztu kapitału","EVA to wskaźnik oparty na przepływach pieniężnych, który pomija koszt kapitału własnego w ocenie efektywności przedsiębiorstwa","EVA to wskaźnik rentowności sprzedaży, który pokazuje relację zysku operacyjnego do przychodów"
"Metoda wyceny przedsiębiorstwa, w której wartość firmy to po prostu wartość jej aktywów pomniejszona o zobowiązania (dokładnie to, co widać w bilansie), to metoda:",księgowa,odtworzeniowa,likwidacyjna,dochodowa
"Metoda wyceny pytająca, ile kosztowałoby dziś zbudowanie identycznej firmy od zera, to metoda:",odtworzeniowa,księgowa,likwidacyjna,porównawcza
"Metoda wyceny szacująca, ile dostalibyśmy sprzedając firmę na części (sumując rynkowe ceny składników majątku pomniejszone o zobowiązania i koszty likwidacji), to metoda:",likwidacyjna,księgowa,odtworzeniowa,dochodowa
"Metody wyceny przedsiębiorstwa oparte na oszacowaniu przyszłych dochodów lub przepływów pieniężnych, takie jak DCF czy FCFE, to metody:",dochodowe,majątkowe,porównawcze (mnożnikowe),mieszane
"Wskaźnik pokazujący, ile inwestorzy płacą za 1 zł zysku netto wypracowanego przez spółkę, to wskaźnik:",P/E (cena akcji do EPS),EPS (zysk netto na akcję),P/BV (wartość rynkowa do wartości księgowej),ROE (rentowność kapitału własnego)
Wskaźnik EPS (Earnings per Share) informuje o tym:,ile wypracowanego zysku netto przypada na jedną akcję spółki,ile inwestorzy płacą za 1 zł zysku spółki,jaka jest relacja wartości rynkowej spółki do jej wartości księgowej,jaki procent zysku spółka wypłaca w formie dywidendy
"Wycena całej spółki z perspektywy wszystkich, którzy dostarczyli jej kapitał (nie tylko akcjonariuszy, ale i wierzycieli), sumująca wartość rynkową akcji oraz dług, to:",Enterprise Value (EV),wartość godziwa,wartość księgowa,kapitalizacja rynkowa
Spółka ma 1 milion akcji po 50 zł każda oraz 10 mln zł długu w postaci kredytów i obligacji. Jej wartość EV (Enterprise Value) wynosi:,60 mln zł,50 mln zł,40 mln zł,10 mln zł
"MVA (Market Value Added), w odróżnieniu od EVA:","pokazuje efekt zarządzania firmą od samego początku jej istnienia, a nie tylko wynik jednego roku",patrzy wyłącznie na wynik jednego roku działalności spółki,pomija koszt kapitału zaangażowanego przez akcjonariuszy,jest tożsama z EVA i oznacza dokładnie to samo
Segmentem rynku finansowego nie jest:,rynek bezterminowy,rynek walutowy,rynek pieniężny,rynek kapitałowy
Która z poniższych instytucji pełni funkcję nadzorczą nad rynkiem finansowym w Polsce?,Komisja Nadzoru Finansowego (KNF),Narodowy Bank Polski (NBP),Ministerstwo Finansów,Główny Urząd Statystyczny (GUS)
"Rynek, na którym emitent po raz pierwszy oferuje inwestorom nabycie papierów wartościowych nowej emisji, pozyskując w ten sposób nowy kapitał, to rynek:",pierwotny,wtórny,terminowy,pozagiełdowy
"Obrót wcześniej wyemitowanymi papierami wartościowymi bezpośrednio między inwestorami, który nie zasila już emitenta nowym kapitałem, odbywa się na rynku:",wtórnym,pierwotnym,pieniężnym,kredytowym
"Rynek nieregulowany, na którym transakcje zawierane są bezpośrednio między stronami (np. rynek międzybankowy), nazywany jest rynkiem:","niepublicznym (pozagiełdowym, OTC)",publicznym (zorganizowanym),pierwotnym,terminowym
"Segment rynku finansowego obejmujący instrumenty o okresie zapadalności maksymalnie jednego roku (np. bony skarbowe), to rynek:",pieniężny,kapitałowy,walutowy,kredytowy
"Międzynarodowy rynek wymiany walut, powszechnie znany pod nazwą Forex, charakteryzuje się:","wysoką płynnością, umożliwiającą łatwą i natychmiastową wymianę walut",bardzo niską płynnością i długim czasem realizacji transakcji,dostępnością wyłącznie dla banków centralnych,obowiązkowym pośrednictwem Giełdy Papierów Wartościowych
Komisja Nadzoru Finansowego (KNF) została powołana w:,"lipcu 2006 roku, zastępując Komisję Papierów Wartościowych i Giełd oraz Komisję Nadzoru Ubezpieczeń i Funduszy Emerytalnych","styczniu 1990 roku, jako pierwsza instytucja nadzorcza po transformacji ustrojowej","2015 roku, po wprowadzeniu jednolitej licencji bankowej UE","2000 roku, wraz z wejściem Polski do Unii Europejskiej"
Nadzorowi Komisji Nadzoru Finansowego (KNF) nie podlega:,działalność giełdy towarowej,rynek kapitałowy,sektor bankowy,rynek ubezpieczeniowy i emerytalny
"Mechanizm stosowany przez Bankowy Fundusz Gwarancyjny (BFG) w celu ratowania banku zagrożonego niewypłacalnością, polegający m.in. na umorzeniu lub konwersji jego zobowiązań, to:",bail-in,bail-out,dematerializacja,sekurytyzacja
"Jedynym w pełni państwowym bankiem w Polsce, którego właścicielem jest Skarb Państwa, jest:",Bank Gospodarstwa Krajowego (BGK),Narodowy Bank Polski (NBP),PKO Bank Polski,Bank Pekao S.A.
"W odróżnieniu od NBP, który jedynie przechowuje pieniądze rządu na Centralnym Rachunku Bieżącym Budżetu Państwa, Bank Gospodarstwa Krajowego (BGK):",zarządza funduszami celowymi i wypłaca środki na konkretne projekty rządowe (np. Krajowy Fundusz Drogowy),prowadzi politykę pieniężną państwa i ustala stopy procentowe,nadzoruje rynek kapitałowy i ubezpieczeniowy,gwarantuje depozyty klientów banków komercyjnych
Który z etapów nie jest składową analizy fundamentalnej:,analiza notowań spółki,analiza makrootoczenia,analiza sektorowa,analiza finansowa spółki
W jakim horyzoncie czasowym ma zastosowanie analiza fundamentalna (jako metoda inwestowania kapitału)?,w horyzoncie długo- i średnioterminowym,w horyzoncie krótkoterminowym,w horyzoncie krótko- i średnioterminowym,w każdym horyzoncie czasowym
Na jakich założeniach (tzw. aksjomatach) bazuje analiza techniczna?,"rynek dyskontuje wszystko, ceny podlegają trendom, historia się powtarza","rynek dyskontuje wszystko, ceny podlegają trendom, przeszłość należy do biznesu","rynek dyskontuje wszystko, ceny podlegają trendom, przyszłość należy do biznesu","rynek dyskontuje wszystko, ceny podlegają trendom, liczy się tylko teraźniejszość"
W analizie fundamentalnej nie bierze się pod uwagę:,kształtowania się cen akcji w przeszłości,sytuacji w sektorze firmy,kondycji finansowej spółki,perspektyw rozwoju przedsiębiorstwa
Celem analizy technicznej jest:,"próba przewidzenia przyszłych ruchów kursu akcji na podstawie danych historycznych, a nie badanie kondycji samej firmy",oszacowanie rzeczywistej wartości akcji na podstawie kondycji finansowej spółki,ocena sytuacji makroekonomicznej i politycznej państwa,wyliczenie wartości firmy metodą zdyskontowanych przepływów pieniężnych
Analiza fundamentalna ma na celu sprawdzenie:,"czy akcja spółki na giełdzie jest niedoceniana, czy przewartościowana względem jej rzeczywistej wartości",w którą stronę zmierza aktualnie kurs akcji na podstawie wykresu,jakie formacje świecowe pojawiły się na wykresie w ostatnim tygodniu,jaki jest aktualny poziom wsparcia i oporu dla danej akcji
Poprawna kolejność pięciu etapów analizy fundamentalnej to:,"analiza makroekonomiczna, sektorowa, sytuacyjna firmy, finansowa, wycena akcji","analiza finansowa, sektorowa, makroekonomiczna, sytuacyjna firmy, wycena akcji","wycena akcji, analiza finansowa, sytuacyjna firmy, sektorowa, makroekonomiczna","analiza sektorowa, makroekonomiczna, wycena akcji, sytuacyjna firmy, finansowa"
"Etap analizy fundamentalnej polegający na ocenie pozycji i kondycji przedsiębiorstwa na tle konkurencji (np. porównaniu udziału w rynku), to:",analiza sytuacyjna firmy,analiza finansowa przedsiębiorstwa,analiza sektorowa (branżowa),analiza makroekonomiczna
"Wskaźnik C/Z (cena do zysku), wykorzystywany na ostatnim etapie analizy fundamentalnej (wycena akcji), pokazuje:",ile trzeba zapłacić za 1 zł zysku wypracowanego przez spółkę,ile zysku netto przypada na jedną akcję spółki,jaki procent zysku spółka przeznacza na dywidendę,jaka jest wartość księgowa jednej akcji spółki
Do narzędzi analizy technicznej należą m.in.:,"linie trendu, poziomy oporu i wsparcia, formacje oraz świece japońskie",analiza makroekonomiczna i sektorowa,"wskaźniki EPS, P/E oraz P/BV","metody dochodowe, takie jak DCF czy FCFE"
"Kluczowym założeniem stojącym za analizą fundamentalną jest to, że:",rynek (inwestorzy) często niedoszacowuje lub przewartościowuje cenę akcji względem realnej wartości spółki,rynek zawsze dyskontuje wszystkie dostępne informacje w cenie akcji,"ceny akcji zawsze podlegają powtarzalnym, matematycznym trendom",historia zawsze się powtarza w identyczny sposób
Połączenie analizy technicznej i fundamentalnej w ramach jednego podejścia inwestycyjnego nazywane jest analizą:,mieszaną,zintegrowaną,hybrydową ilościową,kompleksową
"Spadek stopy bezrobocia w okresie wzrostu gospodarczego oznacza, że bezrobocie miało charakter:",koniunkturalny,frykcyjny,strukturalny,ukryty
Bezrobocie frykcyjne to bezrobocie związane:,z mobilnością ludności,z załamaniem gospodarki,z wahaniami zatrudnienia spowodowanymi porami roku,ze wzrostem automatyzacji
"Bezrobocie obejmujące osoby skłonne podjąć pracę przy danej płacy realnej, lecz niemogące jej znaleźć, to bezrobocie:",przymusowe,frykcyjne,technologiczne,naturalne
"Minimalne bezrobocie, trudne do zredukowania, występujące w związku z nieustannym ruchem ludności przemieszczającej się z jednego regionu do innego, z jednej pracy do drugiej, to bezrobocie:",frykcyjne,sezonowe,strukturalne,ukryte
Bezrobocie strukturalne jest spowodowane:,niedopasowaniem kwalifikacji pracowników do potrzeb pracodawców,migracjami ludności,sezonowymi zmianami w gospodarce,spadkiem koniunktury w gospodarce
Bezrobocie mierzymy:,stosunkiem liczby bezrobotnych osób poszukujących pracy do zasobów siły roboczej,stopą aktywności zawodowej,stosunkiem liczby osób aktywnych zawodowo do wszystkich osób w wieku produkcyjnym,stosunkiem liczby bezrobotnych osób poszukujących pracy do wszystkich osób w wieku produkcyjnym
"Liczba osób, które pracodawcy są gotowi zatrudnić w zamian za określone wynagrodzenie, to:",popyt na pracę,podaż pracy,zasoby siły roboczej,współczynnik aktywności zawodowej
"Zapotrzebowanie na pracowników, wynikające bezpośrednio z popytu na dobra i usługi, które ci pracownicy wytwarzają, nazywane jest popytem:",pochodnym,bezpośrednim,strukturalnym,naturalnym
Wzrost wydajności pracy oraz poziomu kwalifikacji pracowników powoduje:,przesunięcie krzywej popytu na pracę w prawo (wzrost popytu),przesunięcie krzywej popytu na pracę w lewo,ruch wzdłuż tej samej krzywej popytu,brak jakiegokolwiek wpływu na popyt na pracę
"Postęp technologiczny, np. wprowadzenie sztucznej inteligencji, może być wobec pracy:",substytucyjny (zastępujący pracowników o niskich kwalifikacjach) lub komplementarny (tworzący popyt na specjalistów),"wyłącznie substytucyjny, niezależnie od rodzaju pracy","wyłącznie komplementarny, niezależnie od rodzaju pracy",całkowicie neutralny wobec rynku pracy
"Efekt substytucyjny w podaży pracy oznacza, że wraz ze wzrostem wynagrodzenia:","czas wolny staje się relatywnie droższy, więc rośnie skłonność do dłuższej pracy","dochód rośnie, co skłania do wyboru większej ilości czasu wolnego",ludzie całkowicie rezygnują z pracy,podaż pracy pozostaje zawsze bez zmian
"Efekt dochodowy w podaży pracy oznacza, że wyższe zarobki:","zwiększają dochód, co może skłaniać do wyboru większej ilości czasu wolnego i skrócenia czasu pracy",zawsze zwiększają skłonność do dłuższej pracy,nie mają żadnego wpływu na decyzje pracownika,prowadzą wyłącznie do wzrostu popytu na pracę
Wysokie zasiłki dla bezrobotnych i płatne urlopy rodzicielskie mogą:,"przesuwać krzywą podaży pracy w lewo, osłabiając motywację finansową do poszukiwania pracy",przesuwać krzywą podaży pracy w prawo,nie mieć żadnego wpływu na podaż pracy,zawsze zwiększać popyt na pracę
Wprowadzenie przez państwo płacy minimalnej powyżej płacy równowagi rynkowej powoduje:,"spadek popytu na pracę i wzrost podaży pracy, co prowadzi do bezrobocia","wzrost zarówno popytu, jak i podaży pracy","spadek zarówno popytu, jak i podaży pracy",brak jakiejkolwiek zmiany na rynku pracy
"Osoby w wieku produkcyjnym, które nie pracują i nie szukają zatrudnienia, pozostając poza rynkiem pracy, nazywane są:",biernymi zawodowo,aktywnymi zawodowo,bezrobotnymi,zatrudnionymi
"Ogół osób, które weszły na rynek pracy, czyli są pracujące lub poszukujące zatrudnienia, nazywamy:",aktywnymi zawodowo (zasobem siły roboczej),biernymi zawodowo,ludnością w wieku produkcyjnym,bezrobotnymi
"Zgodnie z metodologią BAEL, aby zostać uznanym za osobę bezrobotną, trzeba spełnić m.in. warunek:",gotowości do podjęcia pracy w ciągu najbliższych 2 tygodni,posiadania wyższego wykształcenia,zarejestrowania się w urzędzie pracy,ukończenia kursu przekwalifikowującego
"W odróżnieniu od bezrobocia rejestrowanego, bezrobocie BAEL-owskie:",opiera się na badaniach ankietowych i nie zależy od faktu rejestracji w urzędzie pracy,opiera się wyłącznie na oficjalnych danych z urzędów pracy,jest zawsze niższe niż bezrobocie rejestrowane,dotyczy wyłącznie osób poniżej 25. roku życia
"Bezrobocie związane z niedostatecznym popytem globalnym, pojawiające się, gdy gospodarka wchodzi w recesję, nazywane jest bezrobociem:","cyklicznym (koniunkturalnym, keynesowskim)",frykcyjnym,strukturalnym,naturalnym
"Bezrobocie obejmujące osoby, które nie chcą podjąć pracy przy obecnej, rynkowej płacy, uznając że korzystniej jest pozostać bez zatrudnienia, to bezrobocie:",dobrowolne,przymusowe,ukryte,naturalne
"Zjawisko, w którym osoby oficjalnie gdzieś pracują, ale ich praca jest w rzeczywistości nieproduktywna lub zbędna, to bezrobocie:",ukryte (utajone),dobrowolne,przymusowe,naturalne
"Bezrobocie istniejące w warunkach równowagi na rynku pracy, będące zazwyczaj sumą bezrobocia strukturalnego i frykcyjnego, nazywane jest bezrobociem:",naturalnym (równowagi),cyklicznym,dobrowolnym,ukrytym
Współczynnik aktywności zawodowej (WAZ) oblicza się jako stosunek:,liczby osób aktywnych zawodowo do całkowitej liczby osób w wieku produkcyjnym,liczby bezrobotnych do liczby aktywnych zawodowo,liczby pracujących do liczby osób w wieku produkcyjnym,liczby bezrobotnych do liczby osób w wieku produkcyjnym
Stopa zatrudnienia (wskaźnik zatrudnienia) mierzy procentowy udział:,ludności faktycznie pracującej w ogólnej liczbie ludności danej kategorii (np. w wieku produkcyjnym),osób bezrobotnych w ogólnej liczbie aktywnych zawodowo,osób aktywnych zawodowo w ogólnej liczbie ludności,osób biernych zawodowo w ogólnej liczbie ludności
Do aktywnych (nie pasywnych) metod walki z bezrobociem zalicza się m.in.:,pośrednictwo pracy oraz staże zawodowe,zasiłek dla bezrobotnych oraz roboty publiczne,obniżenie wieku emerytalnego,skracanie maksymalnego czasu pracy
Wypłata zasiłku dla bezrobotnych jest przykładem:,pasywnej metody walki z bezrobociem,aktywnej metody walki z bezrobociem,metody zwiększającej popyt na pracę,metody obniżającej podaż pracy
Krzywa Phillipsa pokazuje:,odwrotną zależność między stopą bezrobocia a stopą inflacji,wprost proporcjonalną zależność między stopą bezrobocia a stopą inflacji,zależność między płacą minimalną a stopą bezrobocia,zależność między PKB a stopą inflacji
"Zjawisko jednoczesnego wystąpienia wysokiej inflacji i wysokiego bezrobocia w latach 70. XX wieku, przeczące zależności z krzywej Phillipsa w długim okresie, nazywane jest:",stagflacją,dezinflacją,deflacją,hiperinflacją
"Pracownik zarabiał 3000 zł, a teraz zarabia 3300 zł (wzrost nominalny o 10%), przy inflacji na poziomie 5%. Jego realny wzrost wynagrodzenia wynosi w przybliżeniu:","4,76%",10%,5%,15%
Zaletą rekrutacji wewnętrznej nie jest:,efekt domino,lepsze rozpoznanie kandydata,niski koszt pozyskania pracowników,zmniejszenie płynności kadr
Assessment center służy przede wszystkim do:,oceniania kandydatów do pracy,planowania kadr,motywowania pracowników,przyjaznego zwalniania pracowników
Najskuteczniejszą metodą selekcji pracowników spośród poniżej wymienionych jest:,assessment center,analiza dokumentów aplikacyjnych,autoprezentacja kandydata,wywiad ustrukturyzowany
"Organ państwowy sprawujący nadzór i kontrolę nad przestrzeganiem prawa pracy w Polsce, kontrolujący m.in. przepisy BHP i legalność zatrudnienia, to:",Państwowa Inspekcja Pracy (PIP),urząd pracy,Zakład Ubezpieczeń Społecznych (ZUS),Komisja Nadzoru Finansowego (KNF)
"W odróżnieniu od urzędu pracy, który pomaga bezrobotnym znaleźć zatrudnienie, Państwowa Inspekcja Pracy:","kontroluje, czy pracodawcy przestrzegają prawa pracy wobec już zatrudnionych osób",zajmuje się wyłącznie wypłatą zasiłków dla bezrobotnych,prowadzi wyłącznie rekrutację pracowników do sektora publicznego,ustala wysokość płacy minimalnej w Polsce
"Łatwo mierzalne, konkretne umiejętności i wiedza fachowa (np. obsługa Excela, znajomość języków obcych), to kompetencje:",twarde,miękkie,ukryte,wrodzone
"Cechy takie jak odporność na stres, umiejętność pracy w grupie czy zdolności przekonywania innych, trudne do precyzyjnego zmierzenia, to kompetencje:",miękkie,twarde,formalne,techniczne
Proces doboru pracowników obejmuje kolejno:,"rekrutację, selekcję oraz wprowadzenie do pracy","rekrutację, selekcję oraz ocenę pracowniczą","selekcję, rekrutację oraz ocenę pracowniczą","rekrutację, ocenę pracowniczą oraz wprowadzenie do pracy"
Ocena pracownicza:,"nie wchodzi w skład procesu doboru pracowników, ponieważ dotyczy już zatrudnionej osoby, a nie kandydata",jest pierwszym etapem procesu doboru pracowników,jest tożsama z etapem selekcji kandydatów,zawsze poprzedza etap rekrutacji
"Zjawisko, w którym jedna wyrazista, pozytywna cecha ocenianej osoby (np. atrakcyjny wygląd) prowadzi do przypisania jej innych, niezaobserwowanych cech pozytywnych, nazywane jest:",efektem aureoli dodatniej (halo effect),efektem aureoli ujemnej (horns effect),efektem Galatei,efektem Golema
"Samospełniające się proroctwo sukcesu, oparte na wysokich własnych oczekiwaniach jednostki co do swoich możliwości, wzmacniane przez menedżera budującego w pracowniku poczucie wartości, to efekt:",Galatei,Golema,aureoli,Hawthorne
"Spadek wydajności i motywacji pracownika na skutek niskich oczekiwań przełożonego, który nieświadomie przekazuje pracownikowi sygnały o jego rzekomej niekompetencji, to efekt:",Golema,Galatei,aureoli,Hawthorne
"Model zarządzania zasobami ludzkimi, w którym firma preferuje rekrutację zewnętrzną i selekcjonuje kandydatów w poszukiwaniu już wysoko wykwalifikowanych specjalistów, to model:",sita,kapitału ludzkiego,kompetencyjny,turkusowy
"Model zarządzania zasobami ludzkimi, w którym firma preferuje rekrutację wewnętrzną i ponosi znaczne nakłady na podnoszenie kwalifikacji własnych pracowników, to model:",kapitału ludzkiego,sita,kompetencyjny,turkusowy
"Wysoce wyspecjalizowana forma rekrutacji zewnętrznej, prowadzona przez profesjonalnych rekruterów w celu dyskretnego pozyskania unikalnych specjalistów lub przedstawicieli wyższej kadry zarządzającej, to:",headhunting,outplacement,assessment center,model sita
"Zaplanowany proces zwalniania pracowników, w ramach którego firma jednocześnie pomaga im znaleźć nowe zatrudnienie, chroniąc przy tym własny wizerunek, to:",outplacement,headhunting,assessment center,rekrutacja wewnętrzna
"Dokument formalnie zatwierdzający powołanie projektu, wyznaczający jego cele i wskaźniki, rezultaty projektu, ramowy harmonogram i budżet oraz kluczowe role i odpowiedzialności to:",karta projektu,plan kierowania projektem,studium wykonalności projektu,plan jakości projektu
W którym etapie cyklu życia projektu powstaje WBS (Work Breakdown Structure)?,planowanie projektu,inicjowanie projektu,realizacja projektu,zamykanie projektu
"Który dokument zawiera najczęściej uzasadnienie projektu, główne cele oraz kluczowe ryzyka?",karta projektu,harmonogram,rejestr zmian,raport końcowy
"Dokument, który wykazuje, dlaczego opłaca się zrealizować projekt, i zawiera m.in. opis problemu oraz wpływ projektu na realizację strategii, to:",uzasadnienie biznesowe (business case),studium wykonalności (feasibility study),deklaracja pracy (SOW),struktura podziału pracy (WBS)
"Bardzo szczegółowy dokument, służący do oceny złożonych projektów z punktu widzenia technicznego, finansowego i organizacyjnego, to:",studium wykonalności (feasibility study),uzasadnienie biznesowe (business case),deklaracja pracy (SOW),karta projektu
W studium wykonalności ocenia się projekt według trzech kryteriów:,"celowości, wykonalności i efektywności","celowości, kwalifikowalności i efektywności","wykonalności, rentowności i płynności","zakresu, czasu i kosztu"
"W studium wykonalności pytanie, czy korzyści z projektu przewyższą jego koszty, dotyczy kryterium:",efektywności,celowości,wykonalności,ryzyka
Deklaracja pracy (SOW) powinna zawierać między innymi:,"mierzalne kryteria sukcesu, listę użytkowników produktu i opis rezultatu",analizę kosztów i korzyści oraz analizę alternatywnych rozwiązań dla projektu,"podział prac projektu na fazy, etapy i zadania wraz z zasadą 100%","ocenę celowości, wykonalności i efektywności projektu z różnych punktów widzenia"
Struktura podziału pracy (WBS) dzieli projekt na trzy poziomy:,"fazy, etapy i zadania","programy, projekty i zadania","cele, produkty i zasoby","inicjowanie, planowanie i zamykanie"
"Zasada 100% w strukturze podziału pracy (WBS) oznacza, że WBS musi:",obejmować wszystkie prace potrzebne do zrealizowania projektu,zostać w całości zatwierdzona przez sponsora,wykorzystywać cały przyznany budżet projektu,być realizowana przez jednego wykonawcę
Zgodnie z regułą 8/80 zadania w strukturze podziału pracy (WBS) powinny trwać:,dłużej niż 8 i krócej niż 80 godzin,krócej niż 8 godzin,dłużej niż 80 godzin,dokładnie 80 godzin
"W klasyfikacji interesariuszy interesariusze potencjalnie aktywni, to interesariusze:",o małym stopniu zaangażowania i dużej sile oddziaływania,o małym stopniu zaangażowania i małej sile oddziaływania,o dużym stopniu zaangażowania i małej sile oddziaływania,o dużym stopniu zaangażowania i dużej sile oddziaływania
M. A. Rodriguez i J. E. Ricart są autorami podziału interesariuszy ze względu na ich wartość dla danej organizacji. W klasyfikacji interesariuszy projektów terminu interesariusze kontekstowi używa się w odniesieniu do:,instytucji społecznych i rządowych,konkurencji,kooperantów i dostawców,akcjonariuszy i właścicieli
W zarządzaniu projektami osoba korzystająca z efektów projektu to:,beneficjent,kierownik projektu,sponsor,wykonawca
Kluczowym zadaniem kierownika projektu jest:,"zarządzanie budżetem, zakresem i ryzykami",kontrola jakości produktu,samodzielne wykonywanie najtrudniejszych zadań,zapewnienie finansowania projektu
Ostatnim etapem zarządzania interesariuszami jest:,współdziałanie z interesariuszami projektu,identyfikacja interesariuszy,ocena interesariuszy,przewidywanie zachowań interesariuszy
"Każda osoba lub grupa, która może wpływać na osiąganie celów przez przedsiębiorstwo lub pozostaje pod wpływem jego działalności nazywana jest:",interesariuszem przedsiębiorstwa,lokalną społecznością,otoczeniem przedsiębiorstwa,konkurencją
"Osoba lub instytucja, która zleca projekt, finansuje go i oczekuje konkretnego wyniku, nie wtrącając się w codzienną pracę zespołu, to:",sponsor projektu,kierownik projektu,wykonawca projektu,interesariusz kontekstowy
"Osoby, które fizycznie wykonują prace w projekcie (np. montują sprzęt w szkolnym radiowęźle), to:",wykonawcy (zespół projektowy),sponsorzy projektu,beneficjenci projektu,interesariusze kontekstowi
Według macierzy interesariuszy przykładem interesariuszy afektywnych są:,media,sponsor projektu,banki,społeczność lokalna
"Sponsor projektu, od którego zależą główne decyzje i wsparcie finansowe, jest w macierzy interesariuszy zaliczany do interesariuszy:",kluczowych,potencjalnie aktywnych,afektywnych,marginalnych
W macierzy interesariuszy opartej na wpływie i zaangażowaniu nie wyróżnia się interesariuszy:,kontraktowych,kluczowych,afektywnych,marginalnych
Przy rozpoznawaniu interesariuszy projektu można skorzystać z:,macierzy interesariuszy,wykresu Gantta,analizy wrażliwości,metody CPM
„PRINCE2” to skrót nazwy brytyjskiej metodyki stosowanej szeroko w zarządzaniu projektami w instytucjach publicznych. Jak brzmi jej pełna nazwa?,PRojects IN Controlled Environments 2,PRoject IN Controlled Environment 2,PRojects IN Controlled Environment 2,PRoject IN Controlled Environments 2
"Jak nazywa się pierwsze, założone w 1965 roku, międzynarodowe stowarzyszenie profesjonalistów zarządzania projektami?",International Project Management Association,Project Management Institute,Association for Project Management Group,Office of Government Commerce
